Codigo,Nome,Grupo_Sinal,Cluster_ID,Membros_Total,Membros_Modelaveis,N_Lags_x,LB_Pvalor,Pooled_Ridge_RMSE,Pooled_Ridge_MAE,Pooled_Ridge_MAPE,Pooled_Ridge_Params,Pooled_SVR_RMSE,Pooled_SVR_MAE,Pooled_SVR_MAPE,Pooled_SVR_Params,Pooled_MLP_RMSE,Pooled_MLP_MAE,Pooled_MLP_MAPE,Pooled_MLP_Params,LGBM_Cluster_RMSE,LGBM_Cluster_MAE,LGBM_Cluster_MAPE,LGBM_Cluster_Params,Ind_Melhor_Modelo,Ind_RMSE,Ind_MAE,Ind_MAPE,N_Treino,N_Holdout,N_Lags_y,Pooled_Melhor_Modelo,Pooled_Melhor_RMSE,Delta_RMSE_pct
600004626,CONVÊNIO FNS  A I D S ( VIGILÂNCIA EM SAÚDE ) - PORTARIA Nº 3.276/2013,apenas_positivos,1,123,115,6,0.0,560747.15,234079.56,27.1949,alpha=0.01,617405.52,338063.46,51.3457,C=1  eps=0.1  kernel=rbf,632453.02,353470.95,56.464,"layers=(100, 50)  alpha=0.0001  lr=0.001",561291.17,230537.13,25.2862,n_est=118  membros=115,ARIMA,570357.4050969095,266329.4286090947,36.60510730736603,62,12,6,Ridge,560747.15,-1.68
600004629,CONVÊNIO SES/PE PNA-CNCDO (CENTRAL DE TRANSPLANTE) - PORTARIA MS Nº 207/14,apenas_positivos,1,123,115,1,0.0,30601.77,29163.62,54.985,alpha=0.01,22396.01,12981.13,17.2066,C=1  eps=0.1  kernel=rbf,20131.94,10127.87,12.1018,"layers=(50, 50)  alpha=0.01  lr=0.01",27717.89,26440.49,48.1557,n_est=118  membros=115,LR,18755.348267127,15692.686988316387,25.00173023583252,61,12,1,MLP,20131.94,7.34
600005130,CONVÊNIO CUSTEIO DA MÉDIA E ALTA COMPLEXIDADE (MAC - PORTARIA 749 DE 06/04/2022,apenas_positivos,1,123,115,1,0.0,734.21,680.58,158.128,alpha=0.01,428.18,373.41,77.7863,C=1  eps=0.1  kernel=rbf,426.35,407.84,96.575,"layers=(50, 50)  alpha=0.01  lr=0.01",258.82,203.3,35.1328,n_est=118  membros=115,ARIMA,153.41421164938612,93.10534983464872,8.897948473388146,24,5,1,LGBM,258.82,68.71
600005160,CONVÊNIO CUSTEIO DA MÉDIA E ALTA COMPLEXIDADE (MAC - PORTARIA 748 DE 06/04/2022,apenas_positivos,1,123,115,1,0.0312,17483.57,16104.61,133.5867,alpha=0.01,10408.33,8638.76,62.848,C=1  eps=0.1  kernel=rbf,10516.37,9824.79,80.0985,"layers=(50, 50)  alpha=0.01  lr=0.01",8039.98,6547.54,44.3244,n_est=118  membros=115,ARIMA,5457.700607921866,3810.521029131732,20.583695194051742,24,6,1,LGBM,8039.98,47.31
600530001,FUNDO DE AÇÕES ESTRATÉGICAS E COMPENSAÇÃO (FAEC),apenas_positivos,0,243,18,10,0.0008,23299872.79,20101375.09,188.7447,alpha=100.0,25039357.54,21811261.08,192.7969,C=1  eps=0.1  kernel=rbf,24930837.68,21602723.23,200.6873,"layers=(100,)  alpha=0.01  lr=0.001",21716095.28,15713904.81,261.5086,n_est=73  membros=18,ARIMA,19453260.777166706,13926676.20945565,262.7829931456814,46,11,10,LGBM,21716095.28,11.63
601000000,TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE ESTRUTURAÇÃO DA REDE DE SERVIÇOS PÚBLICOS DE SAÚDE,positivos_e_negativos,1,123,115,7,0.0001,580937.85,444323.46,550133.6788,alpha=0.01,656146.59,583384.62,311166.618,C=1  eps=0.1  kernel=rbf,576160.99,458464.64,391141.9749,"layers=(50,)  alpha=0.0001  lr=0.001",573452.83,443923.03,480254.9309,n_est=118  membros=115,LR,604002.0782315074,511239.5738865632,364796.9365729998,36,9,7,LGBM,573452.83,-5.06
601003950,CONVÊNIO COMPRA DE EQUIP. PARA O HOSPITAL FERNANDE - PORTARIA Nº 3.293/2011,apenas_positivos,1,123,115,1,0.0,17.96,17.32,2008.512,alpha=0.01,5.01,3.55,370.0327,C=1  eps=0.1  kernel=rbf,3.12,2.66,293.6598,"layers=(50, 50)  alpha=0.01  lr=0.01",1.04,0.77,104.4108,n_est=118  membros=115,SVR,0.333950917126166,0.3175066466722318,35.24342271611512,48,12,1,LGBM,1.04,211.42
601003980,CONVÊNIO CONSTRUÇÃO DO LACEN - PORTARIA Nº 2.754/2012,apenas_positivos,1,123,115,6,0.0,39837.87,35943.17,20.9722,alpha=0.01,102490.98,90254.02,51.2132,C=1  eps=0.1  kernel=rbf,120381.0,103475.68,58.2617,"layers=(100, 50)  alpha=0.0001  lr=0.001",38450.9,33763.21,19.5433,n_est=118  membros=115,MLP,42638.58462537595,38129.95275146653,22.01363878464633,58,12,6,LGBM,38450.9,-9.82
601004021,CONVÊNIO BLOCO DE INVESTIMENTO - HOSPAM - PORTARIA Nº 2.497/2012,apenas_positivos,1,123,115,1,0.0,127.19,124.39,53.4257,alpha=0.01,150.6,122.34,47.7731,C=1  eps=0.1  kernel=rbf,139.31,120.58,47.3794,"layers=(50, 50)  alpha=0.01  lr=0.01",143.66,135.21,56.9717,n_est=118  membros=115,MLP,60.44281066626812,36.804326218447926,13.414779154208304,50,12,1,Ridge,127.19,110.43
601004022,CONVÊNIO BLOCO DE INVESTIMENTO - AFOGADOS DA INGAZ - PORTARIA Nº 2.497/2012,apenas_positivos,1,123,115,1,0.0,97.91,95.98,48.9678,alpha=0.01,126.14,102.94,48.0609,C=1  eps=0.1  kernel=rbf,118.77,102.5,48.0943,"layers=(50, 50)  alpha=0.01  lr=0.01",102.98,98.93,49.8751,n_est=118  membros=115,SVR,51.51818725941673,25.99425968074367,10.575916018385044,52,12,1,Ridge,97.91,90.05
